user_id;name;phone;start_lat;start_lon;end_lat;end_lon;price
xy12;Даниил;+79142345987;62.0778104;129.7058998;62.0819996;129.6978625;230
za34;Ольга;+79243456712;62.0436925;129.6990767;62.0526429;129.6964823;120
bc56;Ирина;+79643451237;62.0558967;129.7211287;62.0785321;129.7023710;130
de78;Егор;+79142345987;62.0701829;129.6963884;62.0816627;129.7159981;240
fg90;Андрей;+79243456712;62.0792087;129.7051293;62.0547992;129.7040018;270
hi23;Мария;+79643451237;62.0713065;129.7070512;62.0862967;129.6938746;150
jk45;Ксения;+79142345987;62.0660158;129.7128493;62.0483241;129.7218036;230
lm67;Иван;+79243456712;62.0809826;129.6983560;62.0574929;129.7078824;250
no89;Екатерина;+79643451237;62.0705329;129.6986951;62.0787032;129.6912704;180
pq12;Алексей;+79142345987;62.0739102;129.6976251;62.0590325;129.6982509;230
rs34;Анна;+79243456712;62.0724583;129.7125404;62.0584627;129.7207632;260
tu56;Михаил;+79643451237;62.0519347;129.7120598;62.0624634;129.6953471;200
vw78;Кира;+79142345987;62.0841102;129.7199281;62.0549813;129.7023410;140
xy90;Денис;+79243456712;62.0630164;129.7058125;62.0801735;129.7132101;180
za23;Екатерина;+79643451237;62.0749296;129.6997687;62.0507028;129.6991976;120
bc45;Сергей;+79142345987;62.0674563;129.7197324;62.0614998;129.7047252;220
de67;Ольга;+79643451237;62.0583791;129.7121843;62.0668437;129.7124731;160
fg89;Андрей;+79142345987;62.0682569;129.7068172;62.0598043;129.7181605;150
hi12;Мария;+79243456712;62.0764805;129.7036671;62.0643920;129.7192632;180
jk34;Денис;+79643451237;62.0547298;129.7139679;62.0725356;129.7029082;190
lm56;Екатерина;+79142345987;62.0671483;129.7142495;62.0511467;129.7137425;240
no78;Игорь;+79243456712;62.0742746;129.7053107;62.0728531;129.6961805;220
pq90;Анна;+79643451237;62.0659102;129.7014857;62.0514998;129.7047252;270
rs23;Андрей;+79142345987;62.0624563;129.7197324;62.0624998;129.7047252;150
tu45;Ольга;+79243456712;62.0684563;129.7197324;62.0584998;129.7047252;190
vw67;Денис;+79643451237;62.0546563;129.7197324;62.0625998;129.7047252;250
xy89;Мария;+79142345987;62.0564563;129.7197324;62.0644998;129.7047252;170
za12;Андрей;+79243456712;62.0694563;129.7197324;62.0684998;129.7047252;240
bc34;Мария;+79643451237;62.0652563;129.7197324;62.0694998;129.7047252;160
de56;Андрей;+79142345987;62.0611563;129.7197324;62.0604998;129.7047252;210
fg78;Анна;+79243456712;62.0663563;129.7197324;62.0584998;129.7047252;120
hi90;Мария;+79643451237;62.0574563;129.7197324;62.0674998;129.7047252;270
jk23;Денис;+79142345987;62.0604563;129.7197324;62.0594998;129.7047252;180
lm45;Андрей;+79243456712;62.0655563;129.7197324;62.0644998;129.7047252;210
no67;Андрей;+79643451237;62.0645563;129.7197324;62.0594998;129.7047252;130
pq89;Мария;+79142345987;62.0604563;129.7197324;62.0594998;129.7047252;210
rs12;Денис;+79243456712;62.0624563;129.7197324;62.0684998;129.7047252;120
tu34;Андрей;+79643451237;62.0645563;129.7197324;62.0584998;129.7047252;140
vw56;Мария;+79142345987;62.0644563;129.7197324;62.0694998;129.7047252;190
xy78;Денис;+79243456712;62.0635563;129.7197324;62.0674998;129.7047252;160
za90;Андрей;+79643451237;62.0635563;129.7197324;62.0624998;129.7047252;270
bc23;Мария;+79142345987;62.0654563;129.7197324;62.0604998;129.7047252;170
de45;Денис;+79243456712;62.0645563;129.7197324;62.0614998;129.7047252;210
fg67;Мария;+79643451237;62.0635563;129.7197324;62.0674998;129.7047252;140
hi89;Андрей;+79142345987;62.0664563;129.7197324;62.0624998;129.7047252;220
jk01;Мария;+79243456712;62.0625563;129.7197324;62.0584998;129.7047252;230
lm23;Денис;+79643451237;62.0635563;129.7197324;62.0684998;129.7047252;120
no45;Мария;+79142345987;62.0674563;129.7197324;62.0614998;129.7047252;160
pq67;Андрей;+79243456712;62.0625563;129.7197324;62.0614998;129.7047252;280
rs89;Мария;+79643451237;62.0655563;129.7197324;62.0684998;129.7047252;140
tu12;Денис;+79142345987;62.0645563;129.7197324;62.0674998;129.7047252;240
vw34;Андрей;+79243456712;62.0655563;129.7197324;62.0594998;129.7047252;210
xy56;Мария;+79643451237;62.0625563;129.7197324;62.0624998;129.7047252;130
za78;Денис;+79142345987;62.0635563;129.7197324;62.0624998;129.7047252;190
